route,probe_path,source_file,dynamic,status,http_status,bytes,final_url,title,login_markers,error,notes,authenticated_final_url,authenticated_status,interactive_count,network_failure_count,dark_screenshot,light_screenshot
/recipes/dishes/[id],/recipes/dishes/__review_invalid__,apps/frontend/src/app/(dashboard)/recipes/dishes/[id]/page.tsx,yes,HTTP_PROBED,200,27564,http://100.124.4.24:3100/recipes/dishes/__review_invalid__,LifeHub,,,Dynamic route probed with invalid placeholder,http://100.124.4.24:3100/dashboard,FAIL_REDIRECT_DASHBOARD,50,2,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/recipes__dishes__id__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/recipes__dishes__id__1440x1000__light__default.png
/recipes/import,/recipes/import,apps/frontend/src/app/(dashboard)/recipes/import/page.tsx,no,HTTP_PROBED,200,27777,http://100.124.4.24:3100/recipes/import,LifeHub,,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/recipes/import,PASS_RENDER,37,0,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/recipes__import__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/recipes__import__1440x1000__light__default.png
/recipes,/recipes,apps/frontend/src/app/(dashboard)/recipes/page.tsx,no,HTTP_PROBED,200,26596,http://100.124.4.24:3100/recipes,LifeHub,,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/recipes,PARTIAL_NETWORK_ERRORS,49,12,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/recipes__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/recipes__1440x1000__light__default.png
/search,/search,apps/frontend/src/app/(dashboard)/search/page.tsx,no,HTTP_PROBED,200,27689,http://100.124.4.24:3100/search,LifeHub,,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/dashboard,FAIL_REDIRECT_DASHBOARD,50,1,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/search__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/search__1440x1000__light__default.png
/settings/diet,/settings/diet,apps/frontend/src/app/(dashboard)/settings/diet/page.tsx,no,HTTP_PROBED,200,26732,http://100.124.4.24:3100/settings/diet,LifeHub,,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/settings/diet,PARTIAL_NETWORK_ERRORS,48,1,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/settings__diet__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/settings__diet__1440x1000__light__default.png
/settings,/settings,apps/frontend/src/app/(dashboard)/settings/page.tsx,no,HTTP_PROBED,200,26785,http://100.124.4.24:3100/settings,LifeHub,,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/settings,PASS_RENDER,41,0,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/settings__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/settings__1440x1000__light__default.png
/shopping,/shopping,apps/frontend/src/app/(dashboard)/shopping/page.tsx,no,HTTP_PROBED,200,27903,http://100.124.4.24:3100/shopping,LifeHub,,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/shopping,PARTIAL_NETWORK_ERRORS,34,2,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/shopping__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/shopping__1440x1000__light__default.png
/test-dnd,/test-dnd,apps/frontend/src/app/(dashboard)/test-dnd/page.tsx,no,HTTP_PROBED,200,27759,http://100.124.4.24:3100/test-dnd,LifeHub,,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/test-dnd,PASS_RENDER,36,0,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/test-dnd__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/test-dnd__1440x1000__light__default.png
/travel,/travel,apps/frontend/src/app/(dashboard)/travel/page.tsx,no,HTTP_PROBED,200,26694,http://100.124.4.24:3100/travel,LifeHub,,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/dashboard,FAIL_REDIRECT_DASHBOARD,50,2,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/travel__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/travel__1440x1000__light__default.png
/users,/users,apps/frontend/src/app/(dashboard)/users/page.tsx,no,HTTP_PROBED,200,26715,http://100.124.4.24:3100/users,LifeHub,,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/users,PASS_RENDER,37,0,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/users__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/users__1440x1000__light__default.png
/vault,/vault,apps/frontend/src/app/(dashboard)/vault/page.tsx,no,HTTP_PROBED,200,26740,http://100.124.4.24:3100/vault,LifeHub,,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/dashboard,FAIL_REDIRECT_DASHBOARD,50,2,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/vault__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/vault__1440x1000__light__default.png
/login,/login,apps/frontend/src/app/login/page.tsx,no,HTTP_PROBED,200,8296,http://100.124.4.24:3100/login,LifeHub,Anmelden|login,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/dashboard,PARTIAL_NETWORK_ERRORS,50,1,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/login__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/login__1440x1000__light__default.png
/,/,apps/frontend/src/app/page.tsx,no,HTTP_PROBED,200,7642,http://100.124.4.24:3100/,LifeHub,Anmelden|login,,Unauthenticated SSR/HTTP probe only,http://100.124.4.24:3100/,PASS_RENDER,2,0,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-dark/root__1440x1000__dark__default.png,docs/reviews/evidence/2026-08-22-lifehub/screenshots/desktop-light/root__1440x1000__light__default.png
